"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"thunderbolts movie","1M+","May 1, 2025 at 3:50:00 PM UTC-6",,"thunderbolts movie,the new avengers,new avengers,thunderbolts,thunderbolts post credit scene,thunderbolts box office,florence pugh,thunderbolts cast,avengers doomsday,the new avengers movie,the thunderbolts,thunderbolts*,thunderbolts rotten tomatoes,marvel movies,marvel thunderbolts post credits scene,how many post credit scenes in thunderbolts,marvel thunderbolts movie box office,thunderbolt movie,thunderbolts release date,box office,avengers,thunderbolts showtimes,thunderbolts end credit scene,avengers endgame,david harbour,sentry thunderbolts,rotten tomatoes,captain america,hannah john-kamen,marvel,new marvel movies,the sentry","https://trends.google.com/trends/explore?q=thunderbolts%20movie&geo=US&hl=en-US"
"pacers vs cavaliers","200K+","May 3, 2025 at 8:00:00 PM UTC-6",,"pacers vs cavaliers,score","https://trends.google.com/trends/explore?q=pacers%20vs%20cavaliers&geo=US&hl=en-US"
"arc raiders","200K+","April 29, 2025 at 9:40:00 AM UTC-6",,"arc raiders,arc raiders release date","https://trends.google.com/trends/explore?q=arc%20raiders&geo=US&hl=en-US"
"diana ross","50K+","May 5, 2025 at 4:20:00 PM UTC-6",,"diana ross,diana ross met gala,tracee ellis ross,evan ross","https://trends.google.com/trends/explore?q=diana%20ross&geo=US&hl=en-US"
"newark airport","100K+","May 3, 2025 at 4:50:00 AM UTC-6",,"newark airport,newark airport news,newark,newark airport delays,ewr,sean duffy,ewr airport","https://trends.google.com/trends/explore?q=newark%20airport&geo=US&hl=en-US"
"pamela anderson","50K+","May 5, 2025 at 4:20:00 PM UTC-6",,"pamela anderson,pamela anderson met gala,pamela anderson met gala 2025","https://trends.google.com/trends/explore?q=pamela%20anderson&geo=US&hl=en-US"
"berkshire hathaway","500K+","May 2, 2025 at 4:30:00 AM UTC-6",,"berkshire hathaway,berkshire hathaway stock,warren buffett,greg abel,brk b stock,warren buffet,warren buffett net worth,brk.b,brkb,how old is warren buffett,greg abel net worth,brkb stock,dow jones live,buffet,buffett,brk b,warren buffet age,gregory abel,from","https://trends.google.com/trends/explore?q=berkshire%20hathaway&geo=US&hl=en-US"
"pltr stock","100K+","May 5, 2025 at 2:00:00 PM UTC-6",,"pltr stock,pltr,palantir stock,palantir,pltr stock price,palantir stock earnings report,pltr earnings,palantir earnings,palantir stock earnings,palantir technologies earnings report,palantir stock price,palantir earnings call,pltr earnings call","https://trends.google.com/trends/explore?q=pltr%20stock&geo=US&hl=en-US"
"indiana fever","200K+","May 1, 2025 at 4:20:00 PM UTC-6",,"indiana fever,wnba,caitlin clark,wnba games,fever game today,indiana fever vs brazil,fever vs brazil,indiana fever schedule,indiana fever game today,caitlin clark injury,indiana fever games,wnba games today,fever game,indiana fever roster,fever,stephanie white,fever vs mystics,brazil vs indiana fever,is caitlin clark playing today,fever schedule,fever vs brazil score,indiana fever game,washington mystics,fever wnba,natasha howard,why is caitlin clark not playing,indiana fever vs. washington mystics,is caitlin clark injured,kelsey mitchell,mystics vs fever,wnba scores","https://trends.google.com/trends/explore?q=indiana%20fever&geo=US&hl=en-US"
"nhl draft lottery","200K+","May 4, 2025 at 3:20:00 PM UTC-6",,"nhl draft lottery,nhl draft lottery 2025,nhl mock draft 2025,nhl draft,nhl lottery,nhl draft order,nhl mock draft,nhl draft order 2025,matthew schaefer,islanders,flyers,michael misa,2025 nhl mock draft,nhl draft 2025,draft lottery nhl,nhl draft lottery results,2025 nhl draft,nhl draft prospects 2025,ny islanders,nhl draft lottery odds,how does the nhl draft lottery work,2025 nhl draft lottery,top nhl draft prospects 2025,2025 nhl draft order,new york islanders,2025 nhl draft prospects,nhl lottery results,nhl.draft lottery,draft lottery,nhl draft lottery 2025 results,ken morrow,nhl draft prospects,blackhawks,how does nhl draft lottery work,nhl lottery odds,chicago blackhawks,nhl lottery draft,when is the nhl draft,nhl lottery 2025,nhl draft odds,nhl schedule","https://trends.google.com/trends/explore?q=nhl%20draft%20lottery&geo=US&hl=en-US"
"pbs","200K+","May 1, 2025 at 9:40:00 PM UTC-6",,"pbs,npr,pbs kids,pbs funding,npr news,katherine maher,npr funding,nebraska public media,bill nye","https://trends.google.com/trends/explore?q=pbs&geo=US&hl=en-US"
"what is cinco de mayo","500K+","May 1, 2025 at 5:50:00 AM UTC-6",,"what is cinco de mayo,cinco de mayo,mexican independence day,battle of puebla,mexico independence day,mexican,may 5th holiday,independence day,sinko de mayo,cinco,cinco de mayo 2025,is today cinco de mayo,do mexicans celebrate cinco de mayo,when is mexican independence day","https://trends.google.com/trends/explore?q=what%20is%20cinco%20de%20mayo&geo=US&hl=en-US"
"padres vs yankees","50K+","May 5, 2025 at 4:10:00 PM UTC-6",,"padres vs yankees,padres - yankees,yankees game,new york yankees vs. san diego padres,nyy,yankees vs padres","https://trends.google.com/trends/explore?q=padres%20vs%20yankees&geo=US&hl=en-US"
"wifiskeleton","50K+","May 5, 2025 at 5:00:00 PM UTC-6",,"wifiskeleton,wifiskeleton dead,wifiskeleton died,wifiskeleton death","https://trends.google.com/trends/explore?q=wifiskeleton&geo=US&hl=en-US"
"sabrina carpenter met gala","50K+","May 5, 2025 at 5:00:00 PM UTC-6",,"sabrina carpenter met gala,sabrina carpenter,barry keoghan,sabrina carpenter met gala 2025,versace","https://trends.google.com/trends/explore?q=sabrina%20carpenter%20met%20gala&geo=US&hl=en-US"
"acl lineup 2025","20K+","May 5, 2025 at 4:50:00 PM UTC-6",,"acl lineup 2025,acl lineup,austin city limits 2025,acl 2025 lineup,acl line up,acl festival,hozier","https://trends.google.com/trends/explore?q=acl%20lineup%202025&geo=US&hl=en-US"
"diddy trial","100K+","May 4, 2025 at 7:40:00 PM UTC-6",,"diddy trial,diddy,p diddy,mike myers,diddy trial date,sean combs,mike myers diddy,diddy trial televised,get out,kicks,cassie ventura,p diddy trial,p diddy news,racketeering","https://trends.google.com/trends/explore?q=diddy%20trial&geo=US&hl=en-US"
"damson idris","20K+","May 5, 2025 at 5:50:00 PM UTC-6",,"damson idris,f1 movie,damson idris met gala","https://trends.google.com/trends/explore?q=damson%20idris&geo=US&hl=en-US"
"sophie cunningham","50K+","May 3, 2025 at 5:10:00 AM UTC-6",,"sophie cunningham,kiki iriafen","https://trends.google.com/trends/explore?q=sophie%20cunningham&geo=US&hl=en-US"
"gta 6 trailer 2","500K+","May 6, 2025 at 7:30:00 AM UTC-6",,"gta 6 trailer 2,gta 6 trailer,rockstar games,rockstar,gta vi,grand theft auto vi,gta 6,gta 6 release date,grand theft auto 6,gta trailer 2,gta trailer,gta 6 delayed,gta 5 release date,when is gta 6 coming out,gta6,gta 5,gta 6 release date rockstar games,rockstar games gta 6 release date,gta,rockstar games gta 6,gta 6 rockstar games,gta 6 delay,take two stock,rockstar games gta vi,gta6 release date,rockstar gta vi,rockstar gta 6,gta v release date,ttwo stock,youtube down,ttwo,grand theft auto 6 release date,grand theft auto,gta vi release date,when does gta 6 come out,gta v,gta delayed,red dead redemption 2","https://trends.google.com/trends/explore?q=gta%206%20trailer%202&geo=US&hl=en-US"
"a little horse nyt","200K+","May 5, 2025 at 8:30:00 PM UTC-6",,"a little horse nyt,in a sneaky way nyt,a little hoarse nyt,perfect nyt,wine pairing nyt,a little horse nyt crossword,hasbro toy with pull handle,deep narrow valley,little horse nyt,deep narrow valley nyt,wines that napa valley is known for,many a new driver nyt,greiner of shark tank nyt,napa valley wines informally,line memorizer nyt,mount where zeus and hera reigned nyt,not making a sound nyt,wines that napa valley is renowned for nyt,wines napa valley is known for nyt,school students nyt crossword,nyt mini crossword today,wines from napa valley nyt,mini crossword hint,do some legwork,hasbro toy with a pull handle and a crank,$10 bill informally nyt,nyt crossword clues,deep, narrow valley,wines that napa valley is known for nyt,mini crossword clues,in a chilly manner nyt mini,herb often paired with rosemary nyt,wine pairing nyt mini,wines that napa valley is renowned for, informally,wines napa is known for nyt,nyt mini answers,hasbro toy with pull handle and crank","https://trends.google.com/trends/explore?q=a%20little%20horse%20nyt&geo=US&hl=en-US"
"nurses week","50K+","May 5, 2025 at 3:50:00 AM UTC-6",,"nurses week,nurses day,national nurses day,nurse week 2025,nurse week,nurses week deals,dunkin nurses week","https://trends.google.com/trends/explore?q=nurses%20week&geo=US&hl=en-US"
"pwc layoffs","20K+","May 5, 2025 at 3:30:00 PM UTC-6",,"pwc layoffs,pwc","https://trends.google.com/trends/explore?q=pwc%20layoffs&geo=US&hl=en-US"
"kim kardashian met gala 2025","50K+","May 5, 2025 at 4:50:00 PM UTC-6",,"kim kardashian met gala 2025,kim kardashian met gala,kim kardashian,north west,kardashian met gala 2025,met gala 2025 kim kardashian,kris jenner met gala 2025,kardashians met gala,met gala 2025 kardashians","https://trends.google.com/trends/explore?q=kim%20kardashian%20met%20gala%202025&geo=US&hl=en-US"
"dave portnoy","50K+","May 4, 2025 at 12:30:00 PM UTC-6",,"dave portnoy,barstool sports,is dave portnoy jewish,temple university,barstool dave portnoy,barstool philly,barstool philly bar,auschwitz,6abc,barstool sports bar,philadelphia,barstool sansom street","https://trends.google.com/trends/explore?q=dave%20portnoy&geo=US&hl=en-US"
"olivia ponton","20K+","May 4, 2025 at 11:20:00 PM UTC-6",,"olivia ponton","https://trends.google.com/trends/explore?q=olivia%20ponton&geo=US&hl=en-US"
"warriors vs timberwolves","50K+","May 4, 2025 at 9:00:00 PM UTC-6",,"warriors vs timberwolves,timberwolves vs warriors,wolves vs warriors,warriors timberwolves,minnesota timberwolves,warriors vs wolves,warriors vs timberwolves this season,nba schedule,who do the warriors play next,timberwolves tickets,warriors tickets,kenny smith,warriors vs minnesota,timberwolves games,juan toscano-anderson,warriors wolves,timberwolves warriors,warriors vs timberwolves playoffs,warriors vs timberwolves 2025,who will the warriors play next,play","https://trends.google.com/trends/explore?q=warriors%20vs%20timberwolves&geo=US&hl=en-US"
"teyana taylor","20K+","May 5, 2025 at 2:50:00 PM UTC-6",,"teyana taylor,teyana taylor met gala,ruth e carter","https://trends.google.com/trends/explore?q=teyana%20taylor&geo=US&hl=en-US"
"colman domingo","20K+","May 5, 2025 at 3:10:00 PM UTC-6",,"colman domingo","https://trends.google.com/trends/explore?q=colman%20domingo&geo=US&hl=en-US"
"razzmatazz mockingbird","50K+","May 6, 2025 at 3:10:00 AM UTC-6",,"razzmatazz mockingbird,nyt connections hints,nyt connections hints april 30,connections answers,connections hint today,connections hint may 3,connections hint may 2,connections hint may 6,parts of a shoe connections,connections hints today,connections hint may 4,zoom pan tilt connections,connections hint today mashable,connections may 4,connections may 3,nyt connections hints today,connections may 2,connections today,connections hint may 1,nyt connections hint,hints for connections,connections answers today,connections may 1,today's connections,connections clues,connection,wordle — the new york times,connections hint april 30","https://trends.google.com/trends/explore?q=razzmatazz%20mockingbird&geo=US&hl=en-US"
"shiloh hendrix gofundme","200K+","May 3, 2025 at 8:30:00 PM UTC-6",,"shiloh hendrix gofundme,shiloh hendricks,shiloh hendrix give send go,givesendgo,gofundme,shiloh hendricks gofundme,shiloh hendricks givesendgo,give send go,shiloh hendrix rochester mn,givesendgo protect my family,givesendgo shiloh hendrix","https://trends.google.com/trends/explore?q=shiloh%20hendrix%20gofundme&geo=US&hl=en-US"
"gears of war reloaded","50K+","May 5, 2025 at 10:00:00 AM UTC-6",,"gears of war reloaded,gears of war reloaded games,gears of war,gears of war ps5","https://trends.google.com/trends/explore?q=gears%20of%20war%20reloaded&geo=US&hl=en-US"
"panthers vs maple leafs","100K+","May 5, 2025 at 5:30:00 PM UTC-6",,"panthers vs maple leafs,anthony stolarz,sam bennett,toronto maple leafs,maple leafs,florida panthers,stolarz injury,leafs,panthers hockey,toronto maple leafs games,panthers,leafs game,panthers game,william nylander,joseph woll,nylander,craig berube,uvis balinskis,nhl games tonight,leafs panthers","https://trends.google.com/trends/explore?q=panthers%20vs%20maple%20leafs&geo=US&hl=en-US"
"tornado watch","20K+","May 6, 2025 at 7:40:00 AM UTC-6",,"tornado watch,tornado watch vs warning","https://trends.google.com/trends/explore?q=tornado%20watch&geo=US&hl=en-US"
"rite aid","20K+","May 5, 2025 at 9:30:00 AM UTC-6",,"rite aid,rite aid pharmacy,rite aid closing","https://trends.google.com/trends/explore?q=rite%20aid&geo=US&hl=en-US"
"conclave 2025","20K+","April 30, 2025 at 5:20:00 AM UTC-6",,"conclave 2025","https://trends.google.com/trends/explore?q=conclave%202025&geo=US&hl=en-US"
"jennifer aniston","20K+","May 5, 2025 at 4:30:00 PM UTC-6",,"jennifer aniston,what happened at jennifer aniston's house,jennifer aniston news,what happened to jennifer aniston,jennifer aniston home","https://trends.google.com/trends/explore?q=jennifer%20aniston&geo=US&hl=en-US"
"mets vs diamondbacks","50K+","May 5, 2025 at 6:50:00 PM UTC-6",,"mets vs diamondbacks,ny mets,dbacks,mets - dbacks,diamondbacks,arizona diamondbacks vs. new york mets,arizona diamondbacks,mets,dbacks - mets","https://trends.google.com/trends/explore?q=mets%20vs%20diamondbacks&geo=US&hl=en-US"
"friedrich merz","10K+","May 6, 2025 at 3:00:00 AM UTC-6",,"friedrich merz,merz,german chancellor merz,germany,merz germany,merz germany chancellor","https://trends.google.com/trends/explore?q=friedrich%20merz&geo=US&hl=en-US"
"mariners vs athletics","20K+","May 5, 2025 at 7:10:00 PM UTC-6",,"mariners vs athletics,oakland athletics,oakland a's,athletics baseball,a's,mariners - athletics","https://trends.google.com/trends/explore?q=mariners%20vs%20athletics&geo=US&hl=en-US"
"benson boone tour","100K+","May 5, 2025 at 6:20:00 AM UTC-6",,"benson boone tour,benson boone","https://trends.google.com/trends/explore?q=benson%20boone%20tour&geo=US&hl=en-US"
"dodgers vs marlins","50K+","May 5, 2025 at 3:50:00 PM UTC-6",,"dodgers vs marlins,dodgers - marlins,dodgers,dodger","https://trends.google.com/trends/explore?q=dodgers%20vs%20marlins&geo=US&hl=en-US"
"giants vs cubs","20K+","May 5, 2025 at 4:40:00 PM UTC-6",,"giants vs cubs,nicky lopez,ian happ,matthew boyd","https://trends.google.com/trends/explore?q=giants%20vs%20cubs&geo=US&hl=en-US"
"earth atmosphere oxygen","5K+","May 6, 2025 at 7:00:00 AM UTC-6",,"earth atmosphere oxygen","https://trends.google.com/trends/explore?q=earth%20atmosphere%20oxygen&geo=US&hl=en-US"
"doechii met gala","20K+","May 5, 2025 at 5:00:00 PM UTC-6",,"doechii met gala,doechii,doechii met gala 2025","https://trends.google.com/trends/explore?q=doechii%20met%20gala&geo=US&hl=en-US"
"mi vs gt","5K+","May 6, 2025 at 7:10:00 AM UTC-6",,"mi vs gt,arshad khan","https://trends.google.com/trends/explore?q=mi%20vs%20gt&geo=US&hl=en-US"
"cocodona 250","10K+","May 5, 2025 at 5:00:00 AM UTC-6",,"cocodona 250","https://trends.google.com/trends/explore?q=cocodona%20250&geo=US&hl=en-US"
"kamala harris met gala","10K+","May 5, 2025 at 6:40:00 PM UTC-6",,"kamala harris met gala","https://trends.google.com/trends/explore?q=kamala%20harris%20met%20gala&geo=US&hl=en-US"
"mothers day gift","20K+","May 1, 2025 at 5:30:00 AM UTC-6",,"mothers day gift","https://trends.google.com/trends/explore?q=mothers%20day%20gift&geo=US&hl=en-US"
"halle berry met gala 2025","20K+","May 5, 2025 at 7:50:00 PM UTC-6",,"halle berry met gala 2025,halle berry,halle berry met gala","https://trends.google.com/trends/explore?q=halle%20berry%20met%20gala%202025&geo=US&hl=en-US"
"lewis hamilton","100K+","May 4, 2025 at 2:10:00 PM UTC-6",,"lewis hamilton,miami gp,charles leclerc,ferrari,formula 1 schedule","https://trends.google.com/trends/explore?q=lewis%20hamilton&geo=US&hl=en-US"
"shah rukh khan","20K+","May 5, 2025 at 4:10:00 PM UTC-6",,"shah rukh khan,shah rukh khan met gala,nicole scherzinger,srk met gala,khan","https://trends.google.com/trends/explore?q=shah%20rukh%20khan&geo=US&hl=en-US"
"charley scalies","20K+","May 4, 2025 at 2:20:00 PM UTC-6",,"charley scalies,sopranos","https://trends.google.com/trends/explore?q=charley%20scalies&geo=US&hl=en-US"
