"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"thunder - nuggets","20K+","May 5, 2025 at 7:20:00 PM UTC-6",,"thunder - nuggets,denver nuggets,nuggets vs thunder,thunder vs nuggets,nuggets vs,denver vs okc,okc,nuggets,thunder vs. nuggets,isaiah hartenstein,aaron gordon,nikola jokić,nuggets nba,jokic,nikola jokic","https://trends.google.com/trends/explore?q=thunder%20-%20nuggets&geo=MX&hl=en-US"
"crystal palace - nottingham forest","20K+","May 5, 2025 at 12:10:00 PM UTC-6",,"crystal palace - nottingham forest,crystal palace,crystal palace vs nottingham forest,crystal palace vs,nottingham forest,crystal palace vs. nottingham forest,nottingham forest vs","https://trends.google.com/trends/explore?q=crystal%20palace%20-%20nottingham%20forest&geo=MX&hl=en-US"
"rihanna","5K+","May 5, 2025 at 4:30:00 PM UTC-6",,"rihanna,asap rocky","https://trends.google.com/trends/explore?q=rihanna&geo=MX&hl=en-US"
"celtics - knicks","50K+","May 5, 2025 at 4:50:00 PM UTC-6",,"celtics - knicks,epic,celtics vs knicks,celtics,boston celtics,knicks vs celtics,celtics vs,jalen brunson,knicks,og anunoby,celtics vs. knicks,boston vs knicks,jayson tatum,mikal bridges","https://trends.google.com/trends/explore?q=celtics%20-%20knicks&geo=MX&hl=en-US"
"pachuca vs monterrey femenil","50K+","May 5, 2025 at 4:20:00 PM UTC-6",,"pachuca vs monterrey femenil,rayadas vs pachuca,rayadas,pachuca femenil,monterrey vs pachuca femenil,rayadas vs pachuca femenil,pachuca vs rayadas,rayadas vs,monterrey femenil,pachuca vs. monterrey,pachuca vs monterrey femenil donde ver,pachuca vs monterrey femenil resultado,donde ver pachuca vs monterrey femenil,pachuca vs monterrey femenil en vivo,tuzas vs rayadas,rayadas femenil,rayadas vs pachuca donde ver,monterrey vs pachuca femenil en vivo","https://trends.google.com/trends/explore?q=pachuca%20vs%20monterrey%20femenil&geo=MX&hl=en-US"
"yankees - padres","5K+","May 5, 2025 at 4:50:00 PM UTC-6",,"yankees - padres,yankees vs padres,padres vs yankees","https://trends.google.com/trends/explore?q=yankees%20-%20padres&geo=MX&hl=en-US"
"marlins - dodgers","5K+","May 5, 2025 at 4:30:00 PM UTC-6",,"marlins - dodgers","https://trends.google.com/trends/explore?q=marlins%20-%20dodgers&geo=MX&hl=en-US"
"canelo vs scull","1M+","May 1, 2025 at 10:50:00 AM UTC-6","May 5, 2025 at 9:20:00 AM UTC-6","canelo vs scull,canelo,pelea del canelo,pelea del canelo 3 de mayo,quien gano canelo vs scull,canelo vs scull horario,pelea canelo,a que hora pelea el canelo,canelo alvarez,canelo vs,william scull,canelo vs scull quien gano,pelea de canelo,pelea canelo 3 de mayo,donde ver la pelea del canelo,a que hora es la pelea del canelo,a que hora es la pelea de hoy,canelo álvarez,dazn,cuando pelea el canelo,canelo pelea,scull,canelo vs scull fecha y hora,canelo vs scull donde ver,pelea de canelo 3 de mayo,canelo vs scull en vivo,pelea del canelo hora,pelea canelo 2025,pelea del canelo en vivo,horario de la pelea del canelo,pelea del canelo 2025,que hora es en arabia saudita,hora en arabia saudita,canelo vs scull horario mexico,quien gano la pelea de hoy,a que hora pelea el canelo el 3 de mayo,arabia saudita,quien gano la pelea canelo vs scull,a que hora pelea canelo,pelea canelo horario,tv azteca,tv azteca en vivo,pelea canelo vs scull,pelea canelo en vivo,cartelera canelo vs scull,arabia saudita hora,peleas de box hoy,box azteca,donde ver canelo vs scull,a qué hora es la pelea del canelo,canelo hoy,canelo alvarez vs scull,azteca 7,cuando pelea el canelo 2025,pelea canelo hoy,horario pelea canelo,saul canelo alvarez,canelo vs scull horario arabia saudita,hora arabia saudita,box hoy,quien ganó la pelea de canelo,donde ver pelea canelo,pelea del canelo donde ver,pelea del canelo quien gano,hora de la pelea del canelo,quien ganó la pelea del canelo,azteca 7 en vivo,canelo pelea 3 de mayo,horario en arabia saudita,canelo vs william scull,resultado de la pelea del canelo,resultado canelo vs scull,la pelea del canelo,a qué hora pelea el canelo,quien gano en la pelea del canelo,donde pelea el canelo,hora de arabia saudita,horario arabia saudita,canelo pelea hoy,hora pelea canelo,a que horas pelea canelo,quien gano canelo vs scull 2025,a qué horas pelea el canelo,a que hora empieza la pelea del canelo,pelea del canelo 3 de mayo hora mexico,pelea del canelo hoy,en que canal pelea canelo,pelea de canelo en vivo,pelea del canelo horario mexico,canelo vs scull resultado,pelea,pelea del canelo 3 de mayo quien gano,azteca deportes,donde ver la pelea del canelo en vivo,pelea canelo hora,a q hora pelea canelo alvarez,tv azteca box,canal 5 en vivo,canelo en vivo,box canelo,horario de arabia saudita,cuanto gano canelo vs scull,dazn canelo,donde ver la pelea de hoy,canelo a que hora pelea,donde es la pelea del canelo,canelo vs scull hora,edad canelo,gano canelo,canelo vs scull cuando es,canelo vs scull cartelera,quién ganó en la pelea del canelo,a qué horas es la pelea del canelo,pelea canelo donde ver,pelea del canelo álvarez,edad del canelo,canelo álvarez vs william scull,pelea del canelo horario,canelo edad,el canelo,a que hora pelea el canelo en mexico,cuando es la pelea del canelo,quien gano de canelo vs scull,pelea del canelo 3 de mayo en vivo,hora de pelea de canelo,pelea del canelo 3 de mayo donde ver,pelea en vivo del canelo,a que horas pelea el canelo,donde puedo ver la pelea del canelo,pelea del.canelo,pelea de box hoy,azteca,azteca 7 en vivo box,canelo scull,canal 7 en vivo,quien gano la pelea del canelo alvarez hoy,canelo alvarez vs scull horario,pelea canelo alvarez,cartelera canelo,pelea de canelo horario,cuándo pelea el canelo,dónde ver la pelea del canelo,cuanto gana el canelo por pelea,canal 5,pelea de canelo hoy,canelo.vs scull,pelea del canelo a que hora,canelo vs scull a que hora pelea,tv azteca deportes,scull vs canelo,qué hora es en arabia saudita,en donde ver la pelea del canelo,a que hora es la pelea del canelo el 3 de mayo,canelo alvarez vs william scull,edad de canelo álvarez,a que hora pelea canelo alvarez,gano el canelo,saul canelo,por donde ver la pelea del canelo,pelea de canelo 2025,azteca deportes en vivo,a que hora pelea canelo vs scull,pelea de canelo álvarez,cuanto gano el canelo por la pelea de hoy,pelea del canelo 3 de mayo hora,cartelera pelea canelo,horario pelea canelo en mexico,canelo donde ver,donde pelea el canelo el 3 de mayo,box azteca en vivo,canelo vs scull donde ver en mexico,resultado pelea canelo vs scull,a qué hora pelea canelo,quien gano la pelea del canelo,donde ver pelea del canelo,canelo hora de pelea,pelea de boxeo hoy sábado,dazn boxing,pelea.canelo,donde va a pelear el canelo,canelo vs scull fecha,como va la pelea del canelo,scull edad,donde pasan la pelea del canelo,a que hora es la pelea de canelo,william scull vs canelo,a que hora sera la pelea del canelo,a qué horas pelea canelo,horario de pelea de canelo,cuando pelea canelo,transmision pelea canelo,a que hora pelea el canelo hoy,donde ver canelo vs scull en vivo,pelea de canelo en vivo hoy,gano canelo hoy,quien gano canelo,donde ver la pelea de canelo,cartelera de box hoy,cuanto va a ganar el canelo hoy,azteca box,alvarez vs scull,boxeo,cartelera box hoy,canelo pelea hora,canelo álvarez vs,box azteca hoy en vivo,cuanto ganara canelo en arabia,saul canelo alvarez vs william scull,a qué hora pelea el canelo álvarez,donde ver pelea canelo vs scull,a qué hora es la pelea de canelo,como quedo el canelo hoy,boxeadores mexicanos,canelo va,edad de canelo,donde sera la pelea del canelo,canelo vs scull ganador,cuanto ganara canelo vs scull,pelea del canelo vs scull,hora pelea canelo vs scull,canelo vs scull online,cuanto va a ganar el canelo,canelo record,en donde pelea el canelo,canal 5 en vivo gratis,canelo en vivo hoy,en que round gano el canelo,la pelea de canelo,canelo pelea en vivo,canelo vs scull en vivo gratis,a qué horas pelea el canelo álvarez,canelo vs scull quien gano 2025,saul alvarez,canelo vs scull minuto a minuto,pelea de canelo hora,a qué hora empieza la pelea del canelo,que hora pelea canelo,canelos vs,donde es la pelea del canelo hoy,hora en arabia,a que hora es la pelea del canelo hoy,donde ver pelea de canelo,donde se puede ver la pelea del canelo,a que hora es la pelea del canelo en mexico,pelea de canelo vs scull,canelo quien gano,donde puedo ver la pelea de hoy,a qué horas empieza la pelea del canelo,cuándo pelea el canelo álvarez,cuanto gano scull,pelea canelo vs scull en vivo,tv azteca deportes en vivo,quien pelea hoy,canelo vs scull donde ver en vivo,cuanto gana canelo por pelea,canelo vs william,saul alvarez vs william scull,quien va ganando canelo vs scull,donde se transmite la pelea del canelo,canelo alvarez edad,que horas son en arabia saudita,pelea de canelo donde ver,canelo vs scull live,canelo alvares,donde ver la pelea del canelo vs scull,dazn canelo vs scull,quien gano canelo o scull,la pelea del canelo en vivo,a qué hora es la pelea del canelo álvarez,pelea canelo quien gano,riad arabia saudita hora,que hora es en arabia,pelea del canelo en vivo hoy,en vivo canelo vs scull,peleas del canelo,contra quien pelea canelo,canelo vs scull en vivo donde ver,pelea canelo 3 de mayo hora mexico,pelea cabelo,con quien pelea el canelo,pelea en vivo canelo vs scull,pelea del canelo donde ver en vivo,edad del canelo álvarez,quien ganó la pelea de hoy,pelea canelo horario en mexico,canelo gano,quien gano la pelea,arabia,a que horas es la pelea de canelo,canelo vs scull tv azteca en vivo,edad del canelo alvarez,cartelera de canelo vs scull,espn boxeo en vivo hoy gratis,donde fue la pelea de canelo alvarez,canelo vs scull resultados,pelea canelo 3 de mayo donde ver,cuándo es la pelea del canelo,boxeador scull,box canelo en vivo,box azteca hoy,canelo vs scull dazn,ver pelea de boxeo en vivo hoy gratis,cómo quedó la pelea del canelo,riad arabia saudita,edad de william scull,donde ver en vivo la pelea del canelo,cuanto gana el canelo por la pelea de hoy,quien gano entre canelo y scull,canelo horario,a que hora pelea canelo hoy,canelo vs scull vivo,edad canelo álvarez,ver canelo vs scull en vivo,pelea de canelo alvarez,a que hora pelea el canelo hora mexico,dazn mexico,quien gano pelea canelo vs scull,jaime munguía vs canelo,pelea el canelo,william scull record,cuanto gano canelo en arabia,que hora son en arabia saudita,ver pelea de canelo en vivo,canelo cuando pelea,resultado pelea canelo,canelo vs scull estadisticas,canelo alvarez vs,qué horas son en arabia saudita,canelo vs scull ver en vivo,apuestas canelo vs scull,televisa deportes,pelea canelo 3 de mayo en vivo,canelo vs scull tv azteca,canelo.alvarez,cuantos años tiene william scull,canelo vs scull como va,canelo alvarez pelea,cuanto gano el canelo en su última pelea,aztecadeportes,canelo alvarez en vivo,a qué hora pelea el canelo hoy,box en vivo hoy,hora de pelea de canelo en mexico,en donde ver la pelea de canelo,pelea en vivo,pelea del canelo alvarez,canelo vd,canelo vs scull azteca 7,pelea en vivo canelo,contra quien pelea canelo hoy,en donde es la pelea del canelo,azteca en vivo,scull record,pelea del canelo hora mexico,cuanto ganara scull vs canelo,canelo vs scull hora mexico,a que horas es la pelea del canelo,horario pelea del canelo,pelea del canelo canal,tv azteca canelo vs scull,scull william,quien gano,tv azteca box en vivo,a qué hora va a ser la pelea del canelo,gano canelo?,canal dazn,arabia saudita horario,cuándo pelea canelo,scull boxeador edad,cuanto gano el canelo,pelea del canelo hora en mexico,bolsa canelo vs scull,donde ver canelo,pelea canelo vs scull hora mexico,quien gano la pelea de canelo,pelea canelo en vivo donde ver,a qué horas es la pelea de canelo,pelea canelo 3 mayo,espn en vivo boxeo,en que plataforma se vera la pelea del canelo,quien gana canelo o scull,box azteca canelo,a que horas pelea canelo hoy,pelea del canelo resultado,pelea.del.canelo,el canelo vs scull,azteca uno en vivo,canelo cartelera,pelea del canelo en mayo 2025,canelo pelea donde ver,a qué horas es la pelea del canelo álvarez,pelea.del canelo","https://trends.google.com/trends/explore?q=canelo%20vs%20scull&geo=MX&hl=en-US"
"día del trabajo","500K+","May 1, 2025 at 12:10:00 AM UTC-6","May 6, 2025 at 6:20:00 AM UTC-6","día del trabajo","https://trends.google.com/trends/explore?q=d%C3%ADa%20del%20trabajo&geo=MX&hl=en-US"
"leon","2K+","May 6, 2025 at 7:10:00 AM UTC-6",,"leon,leon fc,club leon,mundial de clubes,club león,mundial de clubes 2025,leon tas","https://trends.google.com/trends/explore?q=leon&geo=MX&hl=en-US"
"skype","2K+","May 5, 2025 at 9:20:00 AM UTC-6",,"skype","https://trends.google.com/trends/explore?q=skype&geo=MX&hl=en-US"
"cruz azul - tigres","500K+","May 1, 2025 at 7:10:00 PM UTC-6","May 5, 2025 at 7:20:00 AM UTC-6","cruz azul - tigres","https://trends.google.com/trends/explore?q=cruz%20azul%20-%20tigres&geo=MX&hl=en-US"
"met gala 2025 theme","10K+","May 5, 2025 at 3:30:00 PM UTC-6",,"met gala 2025 theme,met gala theme 2025,que es la met gala,tailoring black style,met gala theme,meet gala,dandy,emma chamberlain,metgala,met","https://trends.google.com/trends/explore?q=met%20gala%202025%20theme&geo=MX&hl=en-US"
"lluvia de estrellas eta acuáridas","2K+","May 5, 2025 at 10:50:00 PM UTC-6",,"lluvia de estrellas eta acuáridas,lluvia de estrellas","https://trends.google.com/trends/explore?q=lluvia%20de%20estrellas%20eta%20acu%C3%A1ridas&geo=MX&hl=en-US"
"martes de frescura 6 de mayo 2025","2K+","May 5, 2025 at 9:50:00 PM UTC-6",,"martes de frescura 6 de mayo 2025,martes de frescura,ofertas walmart martes de frescura,walmart martes de frescura,martes de frescura en walmart","https://trends.google.com/trends/explore?q=martes%20de%20frescura%206%20de%20mayo%202025&geo=MX&hl=en-US"
"us teacher appreciation day 2025","1K+","May 5, 2025 at 11:20:00 PM UTC-6",,"us teacher appreciation day 2025","https://trends.google.com/trends/explore?q=us%20teacher%20appreciation%20day%202025&geo=MX&hl=en-US"
"real madrid - celta de vigo","200K+","May 4, 2025 at 5:10:00 AM UTC-6","May 5, 2025 at 8:10:00 PM UTC-6","real madrid - celta de vigo,real madrid vs celta vigo,real madrid vs,real madrid vs. celta de vigo,real madrid contra celta de vigo,laliga,la liga,real madrid vs celta,real madrid club de fútbol,madrid vs,liga española,real madrid hoy,real madrid vs celta de vigo,celta de vigo,madrid vs celta de vigo,la liga española,la.liga,madrid fc,real club celta de vigo,liga de españa,alineaciones de real madrid contra celta de vigo,liga santander","https://trends.google.com/trends/explore?q=real%20madrid%20-%20celta%20de%20vigo&geo=MX&hl=en-US"
"valladolid - barcelona","200K+","May 3, 2025 at 12:10:00 PM UTC-6","May 5, 2025 at 3:20:00 PM UTC-6","valladolid - barcelona,barcelona vs valladolid,rayo vallecano - getafe,valladolid,real valladolid vs barcelona,valladolid vs,barcelona valladolid,valladolid vs barca,corinthians vs","https://trends.google.com/trends/explore?q=valladolid%20-%20barcelona&geo=MX&hl=en-US"
"rockstar","1K+","May 6, 2025 at 8:00:00 AM UTC-6",,"rockstar,rockstar games,gta vi","https://trends.google.com/trends/explore?q=rockstar&geo=MX&hl=en-US"
"efemerides de mayo","500+","May 6, 2025 at 6:50:00 AM UTC-6",,"efemerides de mayo","https://trends.google.com/trends/explore?q=efemerides%20de%20mayo&geo=MX&hl=en-US"
"beca rita cetina preescolar","10K+","May 6, 2025 at 7:20:00 AM UTC-6",,"beca rita cetina preescolar,beca rita cetina 2025,pagos beca rita cetina,beca rita cetina pago,banco del bienestar,rita cetina gutiérrez,becas benito juarez","https://trends.google.com/trends/explore?q=beca%20rita%20cetina%20preescolar&geo=MX&hl=en-US"
"snake","500+","May 6, 2025 at 7:50:00 AM UTC-6",,"snake","https://trends.google.com/trends/explore?q=snake&geo=MX&hl=en-US"
"sabrina carpenter","2K+","May 5, 2025 at 5:10:00 PM UTC-6",,"sabrina carpenter","https://trends.google.com/trends/explore?q=sabrina%20carpenter&geo=MX&hl=en-US"
"que se celebra el 5 de mayo","50K+","May 5, 2025 at 7:20:00 AM UTC-6","May 5, 2025 at 11:30:00 PM UTC-6","que se celebra el 5 de mayo,5 de mayo que se celebra,que se festeja el 5 de mayo,qué se celebra el 5 de mayo,5 mayo,cinco de mayo,qué se festeja el 5 de mayo,que se celebra el 5 de mayo en méxico,que se celebra el 5 de mayo méxico","https://trends.google.com/trends/explore?q=que%20se%20celebra%20el%205%20de%20mayo&geo=MX&hl=en-US"
"thunderbolts","200K+","April 29, 2025 at 11:00:00 AM UTC-6","May 6, 2025 at 7:00:00 AM UTC-6","thunderbolts","https://trends.google.com/trends/explore?q=thunderbolts&geo=MX&hl=en-US"
"gta 6","10K+","May 6, 2025 at 8:30:00 AM UTC-6",,"gta 6,gta vi,gta 6 lanzamiento","https://trends.google.com/trends/explore?q=gta%206&geo=MX&hl=en-US"
"barcelona - inter","500K+","April 30, 2025 at 12:10:00 PM UTC-6","May 2, 2025 at 9:00:00 PM UTC-6","barcelona - inter,barcelona vs. inter,inter vs barcelona,barcelona vs inter milan,barcelona,barcelona vs,barcelona vs inter donde ver,donde ver barcelona vs inter,barcelona inter,inter vs,barca vs,fc barcelona,inter,alineaciones de futbol club barcelona contra inter milan,barcelona vs. inter donde ver,barcelona hoy,donde ver barcelona vs inter en mexico,inter vs barca,barcelona vs inter en vivo,barcelona vs inter champions league,barcelona vs inter de milan,barcelona vs inter donde ver en mexico,champions,inter de milan vs barcelona,uefa champions,inter de milán,inter de milan,futbol club barcelona contra inter milan,ferran torres,futbol club barcelona,barcelona vs milan,barcelona vs inter hoy,estadísticas de futbol club barcelona contra inter milan,barcelona fc,barcelona vs inter vuelta,partido barcelona,barsa,pau cubarsí,inter milan vs barcelona,barcelona inter de milán,partido barcelona hoy,milan vs barcelona,fc barcelona vs inter de milan,dónde mirar futbol club barcelona contra inter milan,fútbol club barcelona,barca hoy,barça,barça vs inter,inter barcelona,barsa vs,donde ver el barcelona vs inter,inter vs barcelona donde ver,donde ver barca vs inter,barcelona vs.,barcelona versus inter,partido del barcelona hoy,barca vs milan,barcelona - inter donde ver,barc,barcelona vs inter milan en vivo gratis,barca vs inter donde ver,barcelona donde ver,barcelona inter donde ver,barcelona vs inter 2010,fc barcelona vs inter milan,partido del barcelona hoy en vivo,barsa vs inter,barca fc,barcelona vs inter milan donde ver,final champions 2025,barcelona vs inter miami,barcelona contra inter,partido barcelona vs inter,barcelona vd,inter vs. barcelona,caliente tv champions league,barcelona va,fc barcelona vs,donde ver inter vs barcelona,partido del barcelona,donde ver el partido del barcelona hoy,marcador barcelona,caliente tv barcelona vs inter,champions league barcelona vs inter,barcelona vs. inter dónde ver,barcelona vs inter por donde ver,barcelona vs inter donde ver mexico,donde ver el partido de barcelona vs inter,barcelon,barca vs inter donde ver mexico,donde ver barcelona hoy,barsa inter,barcelona vs milan hoy,donde ver la champions,donde ver el barcelona vs inter en mexico,barcelona en vivo,ver barcelona vs inter de milan en vivo,barcelona vs inter de milan en vivo online gratis,barca milan,barcelona vs inter online,resultado barcelona hoy,barcelona champions,partido de hoy,ínter vs barcelona,resumen barcelona vs inter,barcelona vs inter milan donde ver mexico","https://trends.google.com/trends/explore?q=barcelona%20-%20inter&geo=MX&hl=en-US"
"dia de la madre","2K+","May 4, 2025 at 8:40:00 AM UTC-6",,"dia de la madre","https://trends.google.com/trends/explore?q=dia%20de%20la%20madre&geo=MX&hl=en-US"
"epic games","100K+","April 29, 2025 at 10:30:00 AM UTC-6","May 6, 2025 at 3:50:00 AM UTC-6","epic games","https://trends.google.com/trends/explore?q=epic%20games&geo=MX&hl=en-US"
"rihanna hijos","2K+","May 5, 2025 at 5:40:00 PM UTC-6",,"rihanna hijos,rihanna embarazada","https://trends.google.com/trends/explore?q=rihanna%20hijos&geo=MX&hl=en-US"
"damson idris","1K+","May 5, 2025 at 6:20:00 PM UTC-6",,"damson idris","https://trends.google.com/trends/explore?q=damson%20idris&geo=MX&hl=en-US"
"genoa vs milan","20K+","May 4, 2025 at 11:20:00 PM UTC-6","May 6, 2025 at 1:20:00 AM UTC-6","genoa vs milan,milan vs genoa,johan vásquez,milan,genoa vs. milan,ac milan,alineaciones de genoa contra ac milan,dónde mirar genoa contra ac milan,santiago giménez,milan fc,genoa vs,ac milan vs genoa","https://trends.google.com/trends/explore?q=genoa%20vs%20milan&geo=MX&hl=en-US"
"pasaporte","200+","May 6, 2025 at 8:10:00 AM UTC-6",,"pasaporte","https://trends.google.com/trends/explore?q=pasaporte&geo=MX&hl=en-US"
"declaranet","200K+","April 29, 2025 at 9:20:00 AM UTC-6","May 4, 2025 at 4:40:00 PM UTC-6","declaranet,declaracion patrimonial,declaración patrimonial 2025,declaracion patrimonial 2025,declaración patrimonial","https://trends.google.com/trends/explore?q=declaranet&geo=MX&hl=en-US"
"hoy no circula 6 de mayo 2025","10K+","May 6, 2025 at 6:40:00 AM UTC-6",,"hoy no circula 6 de mayo 2025,hoy no circula 30 de abril 2025,hoy no circula 5 de mayo 2025,hoy no circula edomex,hoy no circula 3 de mayo 2025,hoy no circula 2 de mayo 2025,hoy no circula 1 de mayo 2025,hoy no circula sabado 3 de mayo 2025,hoy no circula 01 de mayo 2025","https://trends.google.com/trends/explore?q=hoy%20no%20circula%206%20de%20mayo%202025&geo=MX&hl=en-US"
"lunes 5 de mayo hay clases","50K+","May 4, 2025 at 3:20:00 PM UTC-6","May 5, 2025 at 5:30:00 PM UTC-6","lunes 5 de mayo hay clases,los bancos abren el 5 de mayo,5 de mayo es oficial,hay clases el 5 de mayo,se trabaja el 5 de mayo,5 de mayo se trabaja,el 5 de mayo es oficial,hoy abren los bancos,abren los bancos el 5 de mayo,el 5 de mayo se trabaja,mañana hay clases,5 de mayo es festivo oficial 2025,5 mayo es oficial,hoy 5 de mayo abren los bancos,trabajan los bancos el 5 de mayo,mañana abren los bancos,05 de mayo es festivo,5 de mayo hay clases,mañana 5 de mayo abren los bancos,que se conmemora el 5 de mayo,hoy trabajan los bancos,sep habrá clases mañana,hoy hay clases,qué se conmemora el 5 de mayo,hoy se trabaja 5 de mayo,hay clases el 5 de mayo 2025,el lunes 5 de mayo se trabaja,abren los bancos mañana,hoy 5 de mayo se trabaja,hay bancos el 5 de mayo,abren los bancos,festivos 2025,lunes 5 de mayo es festivo,el 5 de mayo es feriado,días festivos 2025,5 de mayo es descanso obligatorio,batalla de puebla 5 de mayo,el dia 5 de mayo es festivo,5 de mayo que se celebra,qué se celebra el 5 de mayo,el 5 de mayo es descanso obligatorio,que se festeja el 5 de mayo","https://trends.google.com/trends/explore?q=lunes%205%20de%20mayo%20hay%20clases&geo=MX&hl=en-US"
